Id,House name,House place,House price,House introduction,room_count,min_area,max_area,avg_area,property_type,price_flag
1,泽翠居,萧山,17730.0,3室/建筑面积：89-98㎡,3,89.0,98.0,93.5,住宅,正常
2,樟源府,萧山,13700.0,3室/4室/建筑面积：89-121㎡,3,89.0,121.0,105.0,住宅,正常
3,祥生湛景江山云樾府,钱塘,26200.0,3室/4室/建筑面积：88-128㎡,3,88.0,128.0,108.0,住宅,正常
4,春江御园,富阳,600.0,别墅/建筑面积：170-300㎡,别墅,170.0,300.0,235.0,别墅,正常
5,保利·和颂春风里,拱墅,29500.0,3室/4室/建筑面积：107-139㎡,3,107.0,139.0,123.0,住宅,正常
6,绿城吉祥里,拱墅,35000.0,商业/建筑面积：310㎡,商业,,,,商业,正常
7,柏源晶舍,临安,22800.0,1室/3室/4室/建筑面积：42-110㎡,1,42.0,110.0,76.0,住宅,正常
8,绿地柏澜晶舍,临安,298.0,3室/4室/别墅/建筑面积：89-202㎡,3,89.0,202.0,145.5,别墅,别墅价格异常低
9,保利和著风华里,拱墅,33200.0,3室/4室/建筑面积：102-139㎡,3,102.0,139.0,120.5,住宅,正常
10,华昭府,余杭,20500.0,3室/4室/建筑面积：111-256㎡,3,111.0,256.0,183.5,住宅,正常
11,启航城,余杭,20000.0,3室/4室/建筑面积：97-131㎡,3,97.0,131.0,114.0,住宅,正常
12,华景川科大湖沁宸园,临平,19800.0,3室/4室/建筑面积：97.65-118㎡,3,97.65,118.0,107.825,住宅,正常
13,万科江斓映象府,滨江,49300.0,4室/5室/建筑面积：147-199㎡,4,147.0,199.0,173.0,住宅,正常
14,荷禹宸府,临平,22600.0,3室/4室/建筑面积：96-127㎡,3,96.0,127.0,111.5,住宅,正常
15,文宸望府,萧山,21400.0,3室/4室/建筑面积：98-118㎡,3,98.0,118.0,108.0,住宅,正常
16,春境前潮府,萧山,18000.0,3室/4室/建筑面积：89-137㎡,3,89.0,137.0,113.0,住宅,正常
17,华景川樾臻府,萧山,13000.0,3室/4室/建筑面积：89-116㎡,3,89.0,116.0,102.5,住宅,正常
18,绿城桂语新月,富阳,22000.0,3室/4室/建筑面积：98-138㎡,3,98.0,138.0,118.0,住宅,正常
19,能建城发瞰奥府,萧山,34000.0,3室/4室/建筑面积：100-138㎡,3,100.0,138.0,119.0,住宅,正常
20,拥奥府,萧山,42900.0,3室/4室/建筑面积：98-126㎡,3,98.0,126.0,112.0,住宅,正常
21,滨江澄虹府,萧山,46200.0,4室/5室/建筑面积：132-236㎡,4,132.0,236.0,184.0,住宅,正常
22,滨运锦上湾,拱墅,32333.0,未知,,,,,住宅,正常
23,滨江春天阳光名城,钱塘,18700.0,3室/4室/5室/建筑面积：89-156㎡,3,89.0,156.0,122.5,住宅,正常
24,湖翠里,钱塘,38300.0,4室/建筑面积：130-166㎡,4,130.0,166.0,148.0,住宅,正常
25,翠语彩虹里,西湖,28600.0,3室/4室/建筑面积：109-139㎡,3,109.0,139.0,124.0,住宅,正常
26,绿城晓月和风,滨江,40000.0,3室/4室/建筑面积：110-165㎡,3,110.0,165.0,137.5,住宅,正常
27,杭州春江潮鸣,萧山,19856.0,4室/7室/建筑面积：300-870㎡,4,300.0,870.0,585.0,住宅,正常
28,蝶翠迎宾府,临平,26600.0,3室/4室/建筑面积：96-139㎡,3,96.0,139.0,117.5,住宅,正常
29,大家中天云翠金澜府,上城,44400.0,3室/4室/建筑面积：110-168㎡,3,110.0,168.0,139.0,住宅,正常
30,春咏风荷里,钱塘,27500.0,3室/4室/建筑面积：99-121㎡,3,99.0,121.0,110.0,住宅,正常
31,滨江旭辉滨旭府,萧山,25600.0,3室/4室/建筑面积：89-110㎡,3,89.0,110.0,99.5,住宅,正常
32,绿城·春境东来院,临平,33600.0,4室/5室/建筑面积：122-170㎡,4,122.0,170.0,146.0,住宅,正常
33,龙井院子,西湖,600.0,别墅/建筑面积：138-160㎡,别墅,138.0,160.0,149.0,别墅,正常
34,万科星图光年轩,余杭,29100.0,3室/4室/建筑面积：105-139㎡,3,105.0,139.0,122.0,住宅,正常
35,融创·杭曜之城,钱塘,30000.0,3室/4室/建筑面积：105-142㎡,3,105.0,142.0,123.5,住宅,正常
36,禹洲泊朗廷,萧山,26800.0,2室/3室/4室/建筑面积：81-148㎡,2,81.0,148.0,114.5,住宅,正常
37,华发联发悦望荟,拱墅,33200.0,3室/4室/建筑面积：103-139㎡,3,103.0,139.0,121.0,住宅,正常
38,融创森与海之城,萧山,14000.0,2室/3室/4室/5室/别墅/建筑面积：88-166㎡,2,88.0,166.0,127.0,别墅,正常
39,滨江中豪枫秀云庭,余杭,36100.0,4室/5室/建筑面积：120-190㎡,4,120.0,190.0,155.0,住宅,正常
40,金帝·咏颂轩,萧山,34198.0,3室/4室/建筑面积：107-125㎡,3,107.0,125.0,116.0,住宅,正常
41,德信金科泊岸江宸轩,萧山,21400.0,3室/建筑面积：89.22-107.39㎡,3,89.22,107.39,98.305,住宅,正常
42,叠潮雅庭,萧山,30860.0,4室/5室/建筑面积：118-162㎡,4,118.0,162.0,140.0,住宅,正常
43,联发臻和雅颂府,拱墅,48100.0,4室/建筑面积：135-150㎡,4,135.0,150.0,142.5,住宅,正常
44,中天海威云咏汀洲,临平,26600.0,3室/4室/建筑面积：98-130㎡,3,98.0,130.0,114.0,住宅,正常
45,萧澜隐翠轩,萧山,30000.0,3室/4室/建筑面积：99-127㎡,3,99.0,127.0,113.0,住宅,正常
46,星创云珹府,余杭,20500.0,3室/4室/建筑面积：106-152㎡,3,106.0,152.0,129.0,住宅,正常
47,滨江大家招商·锦翠金宸府,拱墅,34000.0,3室/4室/建筑面积：99-138㎡,3,99.0,138.0,118.5,住宅,正常
