Id,House name,House place,House price,House introduction
1,泽翠居,萧山,17730,3室/建筑面积：89-98㎡
2,樟源府,萧山,13700,3室/4室/建筑面积：89-121㎡
3,祥生湛景江山云樾府,钱塘,26200,3室/4室/建筑面积：88-128㎡
4,春江御园,富阳,600,别墅/建筑面积：170-300㎡
5,保利·和颂春风里,拱墅,29500,3室/4室/建筑面积：107-139㎡
6,绿城吉祥里,拱墅,35000,商业/建筑面积：310㎡
7,柏源晶舍,临安,22800,1室/3室/4室/建筑面积：42-110㎡
8,绿地柏澜晶舍,临安,298,3室/4室/别墅/建筑面积：89-202㎡
9,保利和著风华里,拱墅,33200,3室/4室/建筑面积：102-139㎡
10,华昭府,余杭,20500,3室/4室/建筑面积：111-256㎡
11,启航城,余杭,20000,3室/4室/建筑面积：97-131㎡
12,华景川科大湖沁宸园,临平,19800,3室/4室/建筑面积：97.65-118㎡
13,万科江斓映象府,滨江,49300,4室/5室/建筑面积：147-199㎡
14,荷禹宸府,临平,22600,3室/4室/建筑面积：96-127㎡
15,文宸望府,萧山,21400,3室/4室/建筑面积：98-118㎡
16,春境前潮府,萧山,18000,3室/4室/建筑面积：89-137㎡
17,华景川樾臻府,萧山,13000,3室/4室/建筑面积：89-116㎡
18,绿城桂语新月,富阳,22000,3室/4室/建筑面积：98-138㎡
19,能建城发瞰奥府,萧山,34000,3室/4室/建筑面积：100-138㎡
20,拥奥府,萧山,42900,3室/4室/建筑面积：98-126㎡
21,滨江澄虹府,萧山,46200,4室/5室/建筑面积：132-236㎡
22,滨运锦上湾,拱墅,32333,NaN
23,滨江春天阳光名城,钱塘,18700,3室/4室/5室/建筑面积：89-156㎡
24,湖翠里,钱塘,38300,4室/建筑面积：130-166㎡
25,翠语彩虹里,西湖,28600,3室/4室/建筑面积：109-139㎡
26,绿城晓月和风,滨江,40000,3室/4室/建筑面积：110-165㎡
27,杭州春江潮鸣,萧山,19856,4室/7室/建筑面积：300-870㎡
28,蝶翠迎宾府,临平,26600,3室/4室/建筑面积：96-139㎡
29,大家中天云翠金澜府,上城,44400,3室/4室/建筑面积：110-168㎡
30,春咏风荷里,钱塘,27500,3室/4室/建筑面积：99-121㎡
31,滨江旭辉滨旭府,萧山,25600,3室/4室/建筑面积：89-110㎡
32,绿城·春境东来院,临平,33600,4室/5室/建筑面积：122-170㎡
33,龙井院子,西湖,600,别墅/建筑面积：138-160㎡
34,万科星图光年轩,余杭,29100,3室/4室/建筑面积：105-139㎡
35,融创·杭曜之城,钱塘,30000,3室/4室/建筑面积：105-142㎡
36,禹洲泊朗廷,萧山,26800,2室/3室/4室/建筑面积：81-148㎡
37,华发联发悦望荟,拱墅,33200,3室/4室/建筑面积：103-139㎡
38,融创森与海之城,萧山,14000,2室/3室/4室/5室/别墅/建筑面积：88-166㎡
39,滨江中豪枫秀云庭,余杭,36100,4室/5室/建筑面积：120-190㎡
40,金帝·咏颂轩,萧山,34198,3室/4室/建筑面积：107-125㎡
41,德信金科泊岸江宸轩,萧山,21400,3室/建筑面积：89.22-107.39㎡
